ID,Asset Class,Equipment Classification,Radio Number,Make,Model,Description,Meter Type,Service Life by Age in Years,Service Life by Meter,Units Needed,Total Mileage.amt,Total Mileage.unit,Total Work Hours.amt,Total Work Hours.unit,Year,Department,Average Purchase Cost,Attached to,SAP_ID,Purchase Date,Total Cost,Manufactured Date,In Service Date,Deactivation on,Out of service,Condition Category,Annual Meter Average,Meter Based RSL in Years,Meter Based RSL Percentage.amt,Meter Based RSL Percentage.unit,Meter Based Condition Category,Age Based RSL in Years,Age Based RSL Percentage.amt,Age Based RSL Percentage.unit,Age Based Condition Category,Annual MR Average,MR Based RSL in Years,MR Based RSL in Percentage.amt,MR Based RSL in Percentage.unit,MR Based Condition Category
M81752,227,TRUCK:VAN W/AERIAL LIFT,H-53,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,172183,mi,1,hr,2017,E06,159000,M81752,9000005167,,48697.59,42736,43125,,No,Poor,,,-38,%,Poor,3.6,30,%,Fair,,,62,%,Good
M81751,227,TRUCK:VAN W/AERIAL LIFT,H-74,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,84745,mi,0,hr,2017,E02,159000,M81751,9000005166,,32798.15,42736,43125,,No,Fair,,,32,%,Fair,3.6,30,%,Fair,,,74,%,Good
M81750,227,TRUCK:VAN W/AERIAL LIFT,H-32,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,72910,mi,0,hr,2017,E02,159000,M81750,9000005165,,13970.82,42736,43125,,No,Fair,,,42,%,Good,3.6,30,%,Fair,,,89,%,Excellent
M81749,227,TRUCK:VAN W/AERIAL LIFT,C-30,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,48516,mi,0,hr,2017,CRP,159000,M81749,9000005164,,18445.95,42736,43125,,No,Fair,,,61,%,Good,3.6,30,%,Fair,,,85,%,Excellent
M81748,227,TRUCK:VAN W/AERIAL LIFT,C-14,FORD,TRAN,2017 FORD 350 VAN,Miles,12,125000,23,66128,mi,0,hr,2017,CRP,159000,M81748,9000005163,,167030.1,42736,43125,,Yes,Poor,,,47,%,Good,3.6,30,%,Fair,,,-31,%,Poor
M81747,227,TRUCK:VAN W/AERIAL LIFT,H-37,FORD,TRAN,2017 FORD 350 VAN 1FDWE3F60HDC73187,Miles,12,125000,23,117086,mi,0,hr,2017,E02,159000,M81747,9000005162,,15059.71,42736,43125,,No,Fair,,,6,%,Fair,3.6,30,%,Fair,,,88,%,Excellent
M71633,227,TRUCK:VAN W/AERIAL LIFT,H-22,FORD,E350,'11 FORD E350 VAN,Miles,12,125000,23,125362,mi,0,hr,2011,E02,159000,M71633,9000001866,,57954.71,40544,40935,,No,Poor,,,0,%,Fair,-2.4,-20,%,Poor,,,54,%,Good
M71611,227,TRUCK:VAN W/AERIAL LIFT,H21,FORD,E350,Ford E350 Van w/lift 2011,Miles,12,125000,23,204655,mi,0,hr,2011,CAP,159000,M71611,9000001865,,57121.21,40544,40935,,No,Critical,,,-64,%,Critical,-2.4,-20,%,Poor,,,55,%,Good
M70683,227,TRUCK:VAN W/AERIAL LIFT,TR-11,FORD,E350,"Ford E350 Van, 2010",Miles,12,125000,23,189315,mi,0,hr,2010,CAP,159000,,9000001579,,64700.69,40179,40518,,No,Critical,,,-51,%,Critical,-3.4,-28,%,Poor,,,49,%,Good
M70682,227,TRUCK:VAN W/AERIAL LIFT,H-30,FORD,E350,"Ford E350 Van, 2010",Miles,12,125000,23,97626,mi,0,hr,2010,CAP,159000,M70682,9000001578,,17785.03,40179,40518,,No,Poor,,,22,%,Fair,-3.4,-28,%,Poor,,,86,%,Excellent
M70681,227,TRUCK:VAN W/AERIAL LIFT,H11,FORD,E350,"Ford E350 Van , 2010",Miles,12,125000,23,240501,mi,0,hr,2010,E06,159000,M70681,9000001577,,47240.65,40179,40471,,No,Critical,,,-92,%,Critical,-3.4,-28,%,Poor,,,63,%,Good
M70680,227,TRUCK:VAN W/AERIAL LIFT,H34,FORD,E350,"Ford E350 Van , 2010",Miles,12,125000,23,163849,mi,0,hr,2010,E06,159000,M70680,9000001576,,69560.76,40179,40471,,No,Poor,,,-31,%,Poor,-3.4,-28,%,Poor,,,45,%,Good
M70679,227,TRUCK:VAN W/AERIAL LIFT,H-16,FORD,E350,'10 FORD E350 VAN,Miles,12,125000,23,103568,mi,0,hr,2010,E02,159000,M70679,9000001575,,37587.47,40179,40471,,Yes,Poor,,,17,%,Fair,-3.4,-28,%,Poor,,,70,%,Good
M69827,227,TRUCK:VAN W/AERIAL LIFT,H41,FORD,E350,'09 FORD E350 VAN,Miles,12,125000,23,174915,mi,0,hr,2009,E06,159000,M69827,9000001519,,66400.09,39814,40161,,No,Poor,,,-40,%,Poor,-4.4,-37,%,Poor,,,48,%,Good
M69826,227,TRUCK:VAN W/AERIAL LIFT,H-12,FORD,E350,'09 FORD E350 VAN,Miles,12,125000,23,84745,mi,0,hr,2009,E02,159000,M69826,9000001518,,29270.35,39814,40161,,No,Poor,,,32,%,Fair,-4.4,-37,%,Poor,,,77,%,Good
M68719,227,TRUCK:VAN W/AERIAL LIFT,H-08,FORD,E350,"FORD E350 VAN, 2009",Miles,12,125000,23,95202,mi,0,hr,2009,E06,159000,,9000001364,,52597.46,39814,39939,,No,Poor,,,24,%,Fair,-4.4,-37,%,Poor,,,59,%,Good
M68718,227,TRUCK:VAN W/AERIAL LIFT,H73,FORD,E350,"FORD E350 VAN, 2009",Miles,12,125000,23,181853,mi,0,hr,2009,E06,159000,M68718,9000001363,,154165.87,39814,39939,,No,Poor,,,-45,%,Poor,-4.4,-37,%,Poor,,,-21,%,Poor
M66188,227,TRUCK:VAN W/AERIAL LIFT,H-31,FORD,E350,FORD SUPERVAN E350 2006,Miles,12,125000,23,199937,mi,0,hr,2006,E06,159000,M66188,9000000929,,68456.21,38718,39172,,Yes,Critical,,,-60,%,Critical,-7.4,-62,%,Critical,,,46,%,Good
M66186,227,TRUCK:VAN W/AERIAL LIFT,H-20,FORD,E350,'06 FORD E350 SUPER VAN,Miles,12,125000,23,92806,mi,0,hr,2006,E02,159000,M66186,9000000927,,43488.03,38718,39172,,No,Critical,,,26,%,Fair,-7.4,-62,%,Critical,,,66,%,Good
M66185,227,TRUCK:VAN W/AERIAL LIFT,H-35,FORD,E350,'06 FORD E350 SUPER VAN,Miles,12,125000,23,193029,mi,0,hr,2006,E06,159000,M66185,9000000926,,94458.49,38718,39172,,No,Critical,,,-54,%,Critical,-7.4,-62,%,Critical,,,26,%,Fair
M66184,227,TRUCK:VAN W/AERIAL LIFT,H40,FORD,E350,'06 FORD E350 SUPER VAN,Miles,12,125000,23,118489,mi,0,hr,2006,E02,159000,M66184,9000000925,,39076.69,38718,39172,,No,Critical,,,5,%,Fair,-7.4,-62,%,Critical,,,69,%,Good
M66183,227,TRUCK:VAN W/AERIAL LIFT,TR-09,FORD,E350,2006 FORD E350 SUPER VAN/BUCKET TRUCK,Miles,12,125000,23,144984,mi,0,hr,2006,M02,159000,,9000000924,,44279.67,38718,39172,,No,Critical,,,-16,%,Poor,-7.4,-62,%,Critical,,,65,%,Good
M57038,227,TRUCK:VAN W/AERIAL LIFT,C-29,GMC,VAN,GMC CARGO VAN 2002,Miles,12,125000,23,83221,mi,0,hr,2002,CRP,159000,M57038,9000000303,,103398.41,37257,37194,,No,Critical,,,33,%,Fair,-11.4,-95,%,Critical,,,19,%,Fair
M83628,225,"TRUCK:VAN UP-9,999 (FORD)",R14,FORD,E350,'19 FORD E350 CARGO VAN,Miles,10,125000,12,71087,mi,0,hr,2019,M02,54000,M83628,9000006939,,7669.9,43466,43830,,Yes,Fair,,,43,%,Good,3.6,36,%,Fair,,,82,%,Excellent
M83627,225,"TRUCK:VAN UP-9,999 (FORD)",R-11,FORD,E350,'19 FORD E350 CARGO VAN,Miles,10,125000,12,137827,mi,0,hr,2019,M05,54000,M83627,9000006938,,17841.24,43466,43830,,No,Poor,,,-10,%,Poor,3.6,36,%,Fair,,,59,%,Good
M83626,225,"TRUCK:VAN UP-9,999 (FORD)",C-11,FORD,E350,'19 FORD E350 CARGO VAN,Miles,10,125000,12,30196,mi,0,hr,2019,CRP,54000,M83626,9000006937,,95854.4,43466,43830,,No,Critical,,,76,%,Good,3.6,36,%,Fair,,,-122,%,Critical
M81727,225,"TRUCK:VAN UP-9,999 (FORD)",C-28,FORD,E350,2017 FORD E350 CARGO VAN,Miles,10,125000,12,61949,mi,0,hr,2017,CRP,54000,M81727,9000005152,,484124.24,42736,43097,,No,Critical,,,50,%,Good,1.6,16,%,Fair,,,-1021,%,Critical
M73867,225,"TRUCK:VAN UP-9,999 (FORD)",C-47,FORD,E150,FORD CARGO VAN E150      CALL # 47,Miles,10,125000,12,55414,mi,0,hr,2013,ADM,54000,,9000002040,,16721.09,41275,41492,,Yes,Poor,,,56,%,Good,-2.4,-24,%,Poor,,,61,%,Good
M71513,225,"TRUCK:VAN UP-9,999 (FORD)",TR-04,FORD,E350,FORD E350 VAN,Miles,10,125000,12,100052,mi,0,hr,2011,HPR,54000,,9000001853,,28855.67,40544,,,Yes,Poor,,,20,%,Fair,-4.4,-44,%,Poor,,,33,%,Fair
M70678,225,"TRUCK:VAN UP-9,999 (FORD)",C-15,FORD,E350,2010 FORD E350 VAN,Miles,10,125000,12,56665,mi,0,hr,2010,CRP,54000,M70678,9000001574,,62524.3,40179,40443,,No,Critical,,,55,%,Good,-5.4,-54,%,Critical,,,-45,%,Poor
M70677,225,"TRUCK:VAN UP-9,999 (FORD)",C-09,FORD,E350,2010 FORD E350 VAN,Miles,10,125000,12,75993,mi,0,hr,2010,CRP,54000,M70677,9000001573,,49635.33,40179,40443,,Yes,Critical,,,39,%,Fair,-5.4,-54,%,Critical,,,-15,%,Poor
M66174,225,"TRUCK:VAN UP-9,999 (FORD)",C-13,FORD,E350,2006 FORD E350 SUPER VAN,Miles,10,125000,12,161891,mi,0,hr,2006,CRP,54000,M66174,9000000919,,42355.39,38718,39043,,No,Critical,,,-30,%,Poor,-9.4,-94,%,Critical,,,2,%,Fair
M66170,225,"TRUCK:VAN UP-9,999 (FORD)",H-59,FORD,E350,'06 FORD E350 SUPER VAN,Miles,10,125000,12,59540,mi,0,hr,2006,E02,54000,M66170,9000000917,,16753.01,38718,39051,,No,Critical,,,52,%,Good,-9.4,-94,%,Critical,,,61,%,Good
M62461,225,"TRUCK:VAN UP-9,999 (FORD)",C-18,FORD,E350,2009 FORD VAN,Miles,10,125000,12,142854,mi,0,hr,2009,CRP,54000,M62461,9000000471,,28627.37,39814,39875,,No,Critical,,,-14,%,Poor,-6.4,-64,%,Critical,,,34,%,Fair
M62460,225,"TRUCK:VAN UP-9,999 (FORD)",H-75,FORD,E350,"Ford Van, 2008 E350",Miles,10,125000,12,85441,mi,0,hr,2009,CAP,54000,M62460,9000000470,,22459.61,39814,39875,,No,Critical,,,32,%,Fair,-6.4,-64,%,Critical,,,48,%,Good
M80973,213,TRUCK:UTILITY BODY (FORD),SS-04,FORD,F350,2017 F350 UTILITY TRUCK,Miles,10,125000,8,148796,mi,0,hr,2017,CSS,69000,M80973,9000004995,,1498684.74,42736,42811,,No,Critical,,,-19,%,Poor,1.6,16,%,Fair,,,-2615,%,Critical
M80972,213,TRUCK:UTILITY BODY (FORD),SS-07,FORD,F350,2017 F350 UTILITY TRUCK,Miles,10,125000,8,124468,mi,0,hr,2017,CSS,69000,M80972,9000004994,,69971.26,42736,42811,,No,Poor,,,0,%,Fair,1.6,16,%,Fair,,,-27,%,Poor
M80971,213,TRUCK:UTILITY BODY (FORD),SS-06,FORD,F350,2017 F350 UTILITY TRUCK,Miles,10,125000,8,171115,mi,0,hr,2017,CSS,69000,M80971,9000004993,,1816267.24,42736,42811,,No,Critical,,,-37,%,Poor,1.6,16,%,Fair,,,-3190,%,Critical
M75018,213,TRUCK:UTILITY BODY (FORD),SS-03,FORD,F350,2014 FORD F250 UTILITY TRUCK,Miles,10,125000,8,237895,mi,0,hr,2014,CSS,69000,,9000002235,,51187.06,41640,41764,,No,Critical,,,-90,%,Critical,-1.4,-14,%,Poor,,,7,%,Fair
M75017,213,TRUCK:UTILITY BODY (FORD),RE6,FORD,F250,2014 FORD F250 UTILITY TRUCK,Miles,10,125000,8,39711,mi,0,hr,2014,CAP,69000,M75017,9000002234,,38928.95,41640,41740,,No,Poor,,,68,%,Good,-1.4,-14,%,Poor,,,29,%,Fair
M75014,213,TRUCK:UTILITY BODY (FORD),RE-07,FORD,F250,2014 FORD F250 UTILITY TRUCK,Miles,10,125000,8,272011,mi,0,hr,2014,RL2,69000,M75014,9000002231,,64225.76,41640,41740,,No,Critical,,,-118,%,Critical,-1.4,-14,%,Poor,,,-16,%,Poor
M75013,213,TRUCK:UTILITY BODY (FORD),RE2,FORD,F250,2014 FORD F250 UTILITY TRUCK,Miles,10,125000,8,266971,mi,0,hr,2014,RL2,69000,M75013,9000002230,41740,73484.24,41640,41740,,No,Critical,23908,-5.9,-114,%,Critical,-1.1,-11,%,Poor,9.68,-3.4,-33,%,Poor
M75019,216,TRUCK:UTIL.BDY FORD W/CRA,R08,FORD,F250,2014 FORD F250 UTILITY TRUCK,Miles,10,125000,1,120469,mi,0,hr,2014,M08,89000,M75019,9000002236,,29981.36,41640,,,No,Poor,,,4,%,Fair,-1.4,-14,%,Poor,,,58,%,Good
M91521,207,TRUCK:SUV (FORD),,FORD,Explorer,2023 FORD EXPLORERS,Miles,10,125000,43,2137,mi,,,2023,CAP,48000,,9000008080,,5572.15,,,,No,Excellent,,91,98,%,Excellent,8.4,84,%,Excellent,,14.7,85,%,Excellent
M91520,207,TRUCK:SUV (FORD),918,FORD,EXPLORER,2023 FORD EXPLORERS,Miles,10,125000,43,26001,mi,,,2023,M08,48000,,9000008079,,16306.73,,,,Yes,Good,,6,79,%,Good,8.4,84,%,Excellent,,3.4,58,%,Good
M91519,207,TRUCK:SUV (FORD),907,FORD,EXPLORER,2023 FORD EXPLORERS,Miles,10,125000,43,19200,mi,,,2023,ADM,48000,,9000008078,,11995.27,,,,No,Good,,8.8,85,%,Excellent,8.4,84,%,Excellent,,5.5,69,%,Good
M91518,207,TRUCK:SUV (FORD),921,FORD,EXPLORER,2023 FORD EXPLORERS,Miles,10,125000,43,28067,mi,,,2023,M06,48000,,9000008077,,16929.45,,,,Yes,Good,,5.5,78,%,Good,8.4,84,%,Excellent,,3.2,56,%,Good
M91517,207,TRUCK:SUV (FORD),917,FORD,EXPLORER,2023 FORD EXPLORERS,Miles,10,125000,43,32986,mi,,,2023,CAP,48000,,9000008076,,12272.01,,,,No,Good,,4.5,74,%,Good,8.4,84,%,Excellent,,5.3,68,%,Good
M89687,207,TRUCK:SUV (FORD),EPC-05,FORD,EXPD,2020 FORD EXPEDITION,Miles,10,125000,43,13411,mi,0,hr,2020,CAP,48000,,9000007219,,19581.71,43831,44347,,No,Good,,,89,%,Excellent,4.6,46,%,Good,,,49,%,Good
M89686,207,TRUCK:SUV (FORD),919,FORD,EXPD,2020 FORD EXPEDITION,Miles,10,125000,43,72412,mi,0,hr,2020,CAP,48000,M89686,9000007218,,37260.4,43831,44347,,Yes,Fair,,,42,%,Good,4.6,46,%,Good,,,3,%,Fair
M89685,207,TRUCK:SUV (FORD),920,FORD,EXPL,FORD EXPLORER,Miles,10,125000,43,26434,mi,0,hr,2022,CAP,48000,,9000007217,,36909.26,1,,,No,Critical,,,79,%,Good,-115.4,-1154,%,Critical,,,4,%,Fair
M89684,207,TRUCK:SUV (FORD),903,FORD,EXPL,2018 EXPLORER,Miles,10,125000,43,7420,mi,0,hr,2022,CAP,48000,,9000007216,,4541.95,1,,,No,Critical,,,94,%,Excellent,-115.4,-1154,%,Critical,,,88,%,Excellent
M89670,207,TRUCK:SUV (FORD),PC-04,FORD,EXPL,FORD EXPLORER,Miles,10,125000,43,24699,mi,0,hr,2022,HPR,48000,,9000007202,,10636.3,44562,44651,,No,Good,,,80,%,Excellent,6.6,66,%,Good,,,72,%,Good
M89645,207,TRUCK:SUV (FORD),PC-01,FORD,EXPL,FORD EXPLORER,Miles,10,125000,43,4257,mi,0,hr,2020,CAP,48000,,9000007173,,20071.53,43831,44196,,No,Good,,,97,%,Excellent,4.6,46,%,Good,,,48,%,Good
M89322,207,TRUCK:SUV (FORD),X-04,FORD,EXPLORER,FORD EXPLORER,Miles,10,125000,43,17374,mi,,,2023,ADM,48000,,9000007863,,30856.12,,,,No,Fair,,9.9,86,%,Excellent,8.4,84,%,Excellent,,0.6,20,%,Fair
M89321,207,TRUCK:SUV (FORD),C-01,,,FORD EXPLORER,Miles,10,125000,43,9210,mi,,,,FFO,48000,,9000007862,,10327.46,,,,No,Good,,19.9,93,%,Excellent,8.4,84,%,Excellent,,6.8,73,%,Good
M89320,207,TRUCK:SUV (FORD),903,,,FORD EXPLORER,Miles,10,125000,43,1430,mi,,,,ENG,48000,,9000007861,,12226.09,,,,No,Good,,137.8,99,%,Excellent,8.4,84,%,Excellent,,5.5,68,%,Good
M89319,207,TRUCK:SUV (FORD),X-01,FORD,EXPLORER,FORD EXPLORER,Miles,10,125000,43,16386,mi,,,2023,ADM,48000,,9000007860,,14641.18,,,,No,Good,,10,87,%,Excellent,8.5,85,%,Excellent,,4.1,62,%,Good
M89303,207,TRUCK:SUV (FORD),C-06,,,FORD EXPLORER,Miles,10,125000,43,14174,mi,,,,CRP,48000,,9000007844,,9209.78,,,,No,Good,,15.1,89,%,Excellent,8.1,81,%,Excellent,,8.1,76,%,Good
M89298,207,TRUCK:SUV (FORD),R-03,FORD,Explorer,FORD EXPLORER,Miles,10,125000,43,4408,mi,,,,CMS,48000,,9000007839,,5475.81,,,,No,Excellent,,52.4,96,%,Excellent,8.1,81,%,Excellent,,15,86,%,Excellent
M89295,207,TRUCK:SUV (FORD),912,FORD,EXPLORER,FORD EXPLORER,Miles,10,125000,43,18700,mi,,,2023,ADM,48000,,9000007836,,19554.1,,,,No,Good,,11.3,85,%,Excellent,8.1,81,%,Excellent,,2.5,49,%,Good
M89294,207,TRUCK:SUV (FORD),905,,,FORD EXPLORER,Miles,10,125000,43,4864,mi,,,,ADM,48000,,9000007835,,18220.65,,,,No,Good,,49,96,%,Excellent,8.1,81,%,Excellent,,2.8,53,%,Good
M89293,207,TRUCK:SUV (FORD),911,,,FORD EXPLORER,Miles,10,125000,43,10117,mi,,,,ADM,48000,,9000007834,,19394.15,,,,Yes,Good,,22.5,92,%,Excellent,8.1,81,%,Excellent,,2.7,52,%,Good
M89283,207,TRUCK:SUV (FORD),,,,"CAMERA, GO PRO HERO10 KIT",Miles,10,125000,43,0,mi,0,hr,,POL,48000,,10000030033,,0,,,,No,Good,,,100,%,Excellent,7.6,76,%,Good,,,100,%,Excellent
M82809,207,TRUCK:SUV (FORD),923,FORD,EXPL,2018 FORD EXPLORER,Miles,10,125000,43,81372,mi,0,hr,2018,M14,48000,,9000006820,,34127.84,43101,43465,,No,Fair,,,35,%,Fair,2.6,26,%,Fair,,,11,%,Fair
M82690,207,TRUCK:SUV (FORD),PC-19,FORD,EXPD,2018 FORD EXPEDITIONS,Miles,10,125000,43,117651,mi,0,hr,2018,CAP,48000,,9000006707,,67972.07,43101,43465,,No,Critical,,,6,%,Fair,2.6,26,%,Fair,,,-77,%,Critical
M82687,207,TRUCK:SUV (FORD),TO-11,FORD,EXPL,2018 FORD EXPLORERS,Miles,10,125000,43,84798,mi,0,hr,2018,ADM,48000,,9000006704,,18029.1,43101,43465,,No,Fair,,,32,%,Fair,2.6,26,%,Fair,,,53,%,Good
M82685,207,TRUCK:SUV (FORD),PC-03,FORD,EXPL,2018 FORD EXPLORER,Miles,10,125000,43,86840.5,mi,0,hr,2018,ADM,48000,,9000006702,,24616.68,43101,43465,,Yes,Fair,,,31,%,Fair,2.6,26,%,Fair,,,38,%,Fair
M82683,207,TRUCK:SUV (FORD),TO-22,FORD,EXPL,2018 FORD EXPLORER,Miles,10,125000,43,99899,mi,0,hr,2018,ADM,48000,,9000006700,,26717.71,43101,43465,,No,Fair,,,20,%,Fair,2.6,26,%,Fair,,,31,%,Fair
M81687,207,TRUCK:SUV (FORD),TO-10,FORD,EXPL,2018 FORD POLICE EXPLORER,Miles,10,125000,43,97293,mi,0,hr,2017,ADM,48000,,9000005149,,24439.86,42736,43097,,No,Fair,,,22,%,Fair,1.6,16,%,Fair,,,36,%,Fair
M80644,207,TRUCK:SUV (FORD),TO-23,FORD,INPT,2016 FORD INTERCEPTOR,Miles,10,125000,43,117953,mi,0,hr,2016,ADM,48000,,9000004911,,23565.33,42370,,,No,Fair,,,6,%,Fair,0.6,6,%,Fair,,,39,%,Fair
M80641,207,TRUCK:SUV (FORD),TO-21,FORD,INPT,2016 FORD INTERCEPTOR,Miles,10,125000,43,113091,mi,0,hr,2016,ADM,48000,,9000004908,,21933.38,42370,,,No,Fair,,,10,%,Fair,0.6,6,%,Fair,,,43,%,Good
M80640,207,TRUCK:SUV (FORD),TO-20,FORD,INPT,2016 FORD INTERCEPTOR,Miles,10,125000,43,25629,mi,0,hr,2016,M03,48000,,9000004907,,39806.16,42370,,,No,Poor,,,79,%,Good,0.6,6,%,Fair,,,-4,%,Poor
M80639,207,TRUCK:SUV (FORD),TO-19,FORD,INPT,2016 FORD INTERCEPTOR,Miles,10,125000,43,139014,mi,0,hr,2016,POL,48000,,9000004906,,27725.28,42370,,,No,Poor,,,-11,%,Poor,0.6,6,%,Fair,,,28,%,Fair
M79065,207,TRUCK:SUV (FORD),,,,DUAL APX RADIO 700-800,Miles,10,125000,43,0,mi,0,hr,,M08,48000,M91520,9000004135,,0,,,,No,Fair,,,100,%,Excellent,0.9,9,%,Fair,,,100,%,Excellent
M78314,207,TRUCK:SUV (FORD),,,,DUAL APX RADIO 700-800,Miles,10,125000,43,0,mi,0,hr,,ADM,48000,M89294,9000003384,,0,,,,No,Fair,,,100,%,Excellent,0.9,9,%,Fair,,,100,%,Excellent
M77660,207,TRUCK:SUV (FORD),ITS-02,FORD,EXPL,2016 FORD EXPLORER,Miles,10,125000,43,91301,mi,0,hr,2016,P89,48000,,9000002869,,21098.23,42370,42508,,No,Fair,,,27,%,Fair,0.6,6,%,Fair,,,45,%,Good
M77659,207,TRUCK:SUV (FORD),941,FORD,EXPL,2016 FORD EXPLORER,Miles,10,125000,43,71354,mi,0,hr,2016,ADM,48000,,9000002868,,10180.06,42370,42508,,No,Fair,,,43,%,Good,0.6,6,%,Fair,,,73,%,Good
M77658,207,TRUCK:SUV (FORD),913,FORD,EXPL,2016 FORD EXPLORER,Miles,10,125000,43,56636,mi,0,hr,2016,ADM,48000,,9000002867,,25947.01,42370,42508,,No,Fair,,,55,%,Good,0.6,6,%,Fair,,,32,%,Fair
M77657,207,TRUCK:SUV (FORD),C-03,FORD,EXPL,2016 FORD EXPLORER,Miles,10,125000,43,53014,mi,0,hr,2016,ADM,48000,,9000002866,,14864.23,42370,42508,,No,Fair,,,58,%,Good,0.6,6,%,Fair,,,61,%,Good
M76416,207,TRUCK:SUV (FORD),15-041,FORD,INPT,2015 FORD INTERCEPTOR,Miles,10,125000,43,90036,mi,0,hr,2015,POL,48000,,9000002637,,18533.95,42005,,,No,Poor,,,28,%,Fair,-0.4,-4,%,Poor,,,52,%,Good
M76415,207,TRUCK:SUV (FORD),TO-17,FORD,INPT,2015 FORD INTERCEPTOR,Miles,10,125000,43,116177,mi,0,hr,2015,M05,48000,,9000002636,,23165.74,42005,,,Yes,Poor,,,7,%,Fair,-0.4,-4,%,Poor,,,40,%,Good
M76413,207,TRUCK:SUV (FORD),TO-16,FORD,INPT,2015 FORD INTERCEPTOR,Miles,10,125000,43,148577,mi,0,hr,2015,ADM,48000,,9000002634,,32084.47,42005,,,No,Poor,,,-19,%,Poor,-0.4,-4,%,Poor,,,16,%,Fair
M76412,207,TRUCK:SUV (FORD),TO-15,FORD,INPT,2015 FORD INTERCEPTOR,Miles,10,125000,43,99923,mi,0,hr,2015,ADM,48000,,9000002633,,14362.29,42005,,,No,Poor,,,20,%,Fair,-0.4,-4,%,Poor,,,63,%,Good
M76302,207,TRUCK:SUV (FORD),TO-13,FORD,INPT,2015 FORD INTERCEPTOR,Miles,10,125000,43,89645,mi,0,hr,2015,ADM,48000,M76302,9000002605,,15271.13,42005,,,No,Poor,,,28,%,Fair,-0.4,-4,%,Poor,,,60,%,Good
M74584,207,TRUCK:SUV (FORD),TO-12,FORD,INPT,2014 FORD INTERCEPTOR,Miles,10,125000,43,148018,mi,0,hr,2014,M01,48000,,9000002161,,32190.27,41640,41724,,No,Poor,,,-18,%,Poor,-1.4,-14,%,Poor,,,16,%,Fair
M74399,207,TRUCK:SUV (FORD),PC-07,FORD,EXPL,"FORD EXPLORER, 2014     CALL # 903",Miles,10,125000,43,83871,mi,0,hr,2014,ADM,48000,,9000002061,,26893.72,41640,41502,,No,Poor,,,33,%,Fair,-1.4,-14,%,Poor,,,30,%,Fair
M74398,207,TRUCK:SUV (FORD),PC-14,FORD,EXPL,"FORD EXPLORER, 2014",Miles,10,125000,43,105340,mi,0,hr,2014,CAP,48000,,9000002060,,31249.83,41640,41640,,No,Poor,,,16,%,Fair,-1.4,-14,%,Poor,,,19,%,Fair
M74394,207,TRUCK:SUV (FORD),CW-05,FORD,EXPL,"FORD EXPLORER, 2014",Miles,10,125000,43,104616,mi,0,hr,2014,CW,48000,,9000002056,,44344.17,41640,41502,,No,Poor,,,16,%,Fair,-1.4,-14,%,Poor,,,-15,%,Poor
M74393,207,TRUCK:SUV (FORD),PC-15,FORD,EXPL,"FORD EXPLORER, 2014",Miles,10,125000,43,119050,mi,0,hr,2014,CAP,48000,,9000002055,,34706.91,41640,41502,,No,Poor,,,5,%,Fair,-1.4,-14,%,Poor,,,10,%,Fair
M74390,207,TRUCK:SUV (FORD),964,FORD,EXPL,"FORD EXPLORER, 2014     CALL # 964",Miles,10,125000,43,66214,mi,0,hr,2014,ADM,48000,,9000002052,,14887.71,41640,,,No,Poor,,,47,%,Good,-1.4,-14,%,Poor,,,61,%,Good
M92313,201,TRUCK:PICKUP (FORD),601,,,2023 Ford F-150,Miles,10,200000,69,37580,mi,,,,M06,65000,,9000008110,,5231.38,,,,No,Excellent,,4,81,%,Excellent,9.1,91,%,Excellent,,11.9,90,%,Excellent
M92312,201,TRUCK:PICKUP (FORD),101,,,2023 Ford F-150,Miles,10,200000,69,10610,mi,,,,M01,65000,M92311,9000008109,,8397.1,,,,No,Excellent,,19.4,95,%,Excellent,9,90,%,Excellent,,6.5,84,%,Excellent
M92311,201,TRUCK:PICKUP (FORD),SS-01,,,2023 Ford F-150,Miles,10,200000,69,9310,mi,,,,CAP,65000,,9000008108,,7789.12,,,,No,Excellent,,20.5,95,%,Excellent,9,90,%,Excellent,,7.1,85,%,Excellent
M92310,201,TRUCK:PICKUP (FORD),1402,FORD,F-150,2023 Ford F-150,Miles,10,200000,69,23793,mi,,,2023,M14,65000,,9000008107,,8128.73,,,,No,Excellent,,7.5,88,%,Excellent,9,90,%,Excellent,,6.7,84,%,Excellent
M92309,201,TRUCK:PICKUP (FORD),102,,,2023 Ford F-150,Miles,10,200000,69,9943,mi,,,,M01,65000,,9000008106,,6752.12,,,,No,Excellent,,19.4,95,%,Excellent,9,90,%,Excellent,,8.5,87,%,Excellent
M92308,201,TRUCK:PICKUP (FORD),NEW 1601,,,2023 Ford F-150,Miles,10,200000,69,19841,mi,,,,M16,65000,,9000008105,,11685.59,,,,No,Good,,9.2,90,%,Excellent,9,90,%,Excellent,,4.4,78,%,Good
M92307,201,TRUCK:PICKUP (FORD),1400,,,2023 Ford F-150,Miles,10,200000,69,16572,mi,,,,M14,65000,,9000008104,,11439.32,,,,No,Good,,11.1,92,%,Excellent,9,90,%,Excellent,,4.4,78,%,Good
